         in int              in bit       out real    out sim int         out sim bit          error
           -110            10010010          -68.5            -69            10111011            0.5
            -41            11010111         -128.0           -128            10000000            0.0
            -74            10110110         -128.0           -128            10000000            0.0
           -122            10000110         -128.0           -128            10000000            0.0
             19            00010011         -128.0           -128            10000000            0.0
            115            01110011          127.0            127            01111111            0.0
            -11            11110101         117.75            118            01110110          -0.25
             11            00001011          -2.75             -3            11111101           0.25
            -41            11010111         -49.75            -50            11001110           0.25
            -28            11100100         -128.0           -128            10000000            0.0
             76            01001100           77.0             77            01001101            0.0
             72            01001000          127.0            127            01111111            0.0
           -126            10000010          -76.5            -77            10110011            0.5
            -15            11110001         -128.0           -128            10000000            0.0
             22            00010110            8.5              8            00001000            0.5
            -70            10111010          -78.5            -79            10110001            0.5
             80            01010000            0.0              0            00000000            0.0
             79            01001111          127.0            127            01111111            0.0
            122            01111010          127.0            127            01111111            0.0
             46            00101110          127.0            127            01111111            0.0
            109            01101101          127.0            127            01111111            0.0
            -28            11100100           76.0             76            01001100            0.0
            -49            11001111         -128.0           -128            10000000            0.0
             46            00101110          -17.5            -18            11101110            0.5
           -127            10000001         -128.0           -128            10000000            0.0
              9            00001001         -128.0           -128            10000000            0.0
           -116            10001100         -128.0           -128            10000000            0.0
            -92            10100100         -128.0           -128            10000000            0.0
           -126            10000010         -128.0           -128            10000000            0.0
             48            00110000         -128.0           -128            10000000            0.0
           -127            10000001        -126.25           -126            10000010          -0.25
            123            01111011         -38.75            -39            11011001           0.25
           -102            10011010          -25.5            -26            11100110            0.5
            122            01111010            9.5              9            00001001            0.5
            -93            10100011         -11.75            -12            11110100           0.25
             54            00110110          -91.5            -92            10100100            0.5
             45            00101101          127.0            127            01111111            0.0
             46            00101110          127.0            127            01111111            0.0
            -58            11000110           -9.5            -10            11110110            0.5
            -45            11010011         -128.0           -128            10000000            0.0
            -70            10111010         -128.0           -128            10000000            0.0
            106            01101010           45.5             45            00101101            0.5
            -26            11100110           73.5             73            01001001            0.5
            107            01101011          127.0            127            01111111            0.0
             87            01010111          127.0            127            01111111            0.0
            -94            10100010            9.5              9            00001001            0.5
             23            00010111         -128.0           -128            10000000            0.0
            114            01110010          127.0            127            01111111            0.0
             18            00010010          127.0            127            01111111            0.0
             22            00010110           74.5             74            01001010            0.5
           -117            10001011         -128.0           -128            10000000            0.0
            -67            10111101         -128.0           -128            10000000            0.0
           -118            10001010         -128.0           -128            10000000            0.0
             74            01001010         -106.5           -107            10010101            0.5
             64            01000000          127.0            127            01111111            0.0
             24            00011000          127.0            127            01111111            0.0
             29            00011101          98.75             99            01100011          -0.25
            -62            11000010          -50.5            -51            11001101            0.5
            -84            10101100         -128.0           -128            10000000            0.0
             20            00010100         -128.0           -128            10000000            0.0
            -23            11101001          -0.25              0            00000000          -0.25
            118            01110110          127.0            127            01111111            0.0
            -49            11001111          57.25             57            00111001           0.25
            -52            11001100         -128.0           -128            10000000            0.0
             36            00100100          -41.0            -41            11010111            0.0
              2            00000010           75.5             75            01001011            0.5
             31            00011111          58.25             58            00111010           0.25
           -116            10001100         -128.0           -128            10000000            0.0
           -123            10000101         -128.0           -128            10000000            0.0
             -6            11111010         -128.0           -128            10000000            0.0
           -110            10010010         -128.0           -128            10000000            0.0
             84            01010100          -73.0            -73            10110111            0.0
            -28            11100100          119.0            119            01110111            0.0
             70            01000110           66.5             66            01000010            0.5
            -93            10100011         -22.75            -23            11101001           0.25
            -67            10111101         -128.0           -128            10000000            0.0
             -7            11111001         -128.0           -128            10000000            0.0
             73            01001001         113.75            114            01110010          -0.25
             66            01000010          127.0            127            01111111            0.0
            101            01100101          127.0            127            01111111            0.0
             11            00001011          127.0            127            01111111            0.0
             59            00111011         125.25            125            01111101           0.25
             24            00011000          127.0            127            01111111            0.0
            -79            10110001         -90.25            -90            10100110          -0.25
             85            01010101          -9.25             -9            11110111          -0.25
            106            01101010          127.0            127            01111111            0.0
            -15            11110001          92.75             93            01011101          -0.25
             85            01010101         118.75            119            01110111          -0.25
             31            00011111          127.0            127            01111111            0.0
             88            01011000          127.0            127            01111111            0.0
           -123            10000101         -39.25            -39            11011001          -0.25
            -41            11010111         -128.0           -128            10000000            0.0
            -36            11011100         -128.0           -128            10000000            0.0
           -113            10001111         -128.0           -128            10000000            0.0
            -43            11010101         -128.0           -128            10000000            0.0
             33            00100001         -28.25            -28            11100100          -0.25
            -97            10011111        -103.75           -104            10011000           0.25
             86            01010110          -43.5            -44            11010100            0.5
            -24            11101000          127.0            127            01111111            0.0
            122            01111010          127.0            127            01111111            0.0
             36            00100100          127.0            127            01111111            0.0
            -45            11010011          -6.75             -7            11111001           0.25
              9            00001001         -74.25            -74            10110110          -0.25
             40            00101000           88.0             88            01011000            0.0
            -33            11011111          22.25             22            00010110           0.25
             57            00111001          33.75             34            00100010          -0.25
